Date ,Day,Site,Sample,Transect,Species,Status,Count
7/16/2021,197,2,5,1,Heterotheca villosa,Native,46
7/16/2021,197,2,5,2,Heterotheca villosa,Native,47
7/16/2021,197,2,5,3,Heterotheca villosa,Native,36
7/16/2021,197,2,5,1,Oxytropis lambertii,Native,12
7/16/2021,197,2,5,2,Oxytropis lambertii,Native,7
7/16/2021,197,2,5,3,Oxytropis lambertii,Native,3
7/16/2021,197,2,5,2,Penstemon glaber,Native,4
7/16/2021,197,2,5,1,Potentilla hippiana,Native,1
7/16/2021,197,2,5,3,Potentilla hippiana,Native,23
7/16/2021,197,2,5,3,Sedum lanceolatum,Native,11
7/27/2021,208,2,6,2,Achillea millefolium ,Native,4
7/27/2021,208,2,6,3,Achillea millefolium ,Native,2
7/27/2021,208,2,6,2,Allium cernuum,Native,7
7/27/2021,208,2,6,3,Allium cernuum,Native,46
7/27/2021,208,2,6,2,Astragalus flexuosus,Native,13
7/27/2021,208,2,6,2,Calochortus gunnisonii,Native,6
7/27/2021,208,2,6,3,Calochortus gunnisonii,Native,8
7/27/2021,208,2,6,1,Carduus nutans,Introduced,13
7/27/2021,208,2,6,2,Carduus nutans,Introduced,2
7/27/2021,208,2,6,1,Erigeron flagellaris,Native,4
7/27/2021,208,2,6,2,Erigeron flagellaris,Native,6
7/27/2021,208,2,6,3,Erigeron flagellaris,Native,23
7/27/2021,208,2,6,1,Erigeron speciosus,Native,10
7/27/2021,208,2,6,2,Erigeron speciosus,Native,10
7/27/2021,208,2,6,1,Eriogonum umbellatum,Native,140
7/27/2021,208,2,6,2,Eriogonum umbellatum,Native,195
7/27/2021,208,2,6,3,Eriogonum umbellatum,Native,261
7/27/2021,208,2,6,2,Grindelia squarrosa,Native,8
7/27/2021,208,2,6,3,Grindelia squarrosa,Native,2
7/27/2021,208,2,6,1,Heterotheca villosa,Native,35
7/27/2021,208,2,6,2,Heterotheca villosa,Native,75
7/27/2021,208,2,6,3,Heterotheca villosa,Native,49
7/27/2021,208,2,6,2,Lupinus argenteus,Native,7
7/27/2021,208,2,6,3,Oenothera coronopifolia,Native,1
7/27/2021,208,2,6,1,Potentilla hippiana,Native,4
7/27/2021,208,2,6,2,Potentilla hippiana,Native,30
7/27/2021,208,2,6,3,Potentilla hippiana,Native,18
7/27/2021,208,2,6,3,Sedum lanceolatum,Native,5
7/27/2021,208,2,6,2,Solidago multiradiata,Native,4
8/12/2021,224,2,7,2,Achillea millefolium ,Native,17
8/12/2021,224,2,7,3,Achillea millefolium ,Native,2
8/12/2021,224,2,7,2,Allium cernuum,Native,7
8/12/2021,224,2,7,3,Allium cernuum,Native,39
8/12/2021,224,2,7,1,Artemisia frigida,Native,34
8/12/2021,224,2,7,2,Artemisia frigida,Native,17
8/12/2021,224,2,7,3,Artemisia frigida,Native,82
8/12/2021,224,2,7,1,Artemisia ludoviciana,Native,10
8/12/2021,224,2,7,1,Campanula rotundifolia,Native,4
8/12/2021,224,2,7,1,Carduus nutans,Introduced,20
8/12/2021,224,2,7,2,Carduus nutans,Introduced,5
8/12/2021,224,2,7,1,Ericameria nauseosa,Native,138
8/12/2021,224,2,7,2,Ericameria nauseosa,Native,30
8/12/2021,224,2,7,3,Ericameria nauseosa,Native,55
8/12/2021,224,2,7,2,Erigeron speciosus,Native,5
8/12/2021,224,2,7,1,Eriogonum umbellatum,Native,19
8/12/2021,224,2,7,2,Eriogonum umbellatum,Native,25
8/12/2021,224,2,7,3,Eriogonum umbellatum,Native,10
8/12/2021,224,2,7,3,Grindelia squarrosa,Native,4
8/12/2021,224,2,7,1,Heterotheca villosa,Native,72
8/12/2021,224,2,7,2,Heterotheca villosa,Native,213
8/12/2021,224,2,7,3,Heterotheca villosa,Native,105
8/12/2021,224,2,7,3,Orthocarpus luteus,Native,30
8/12/2021,224,2,7,3,Polygonum douglasii,Native,18
8/12/2021,224,2,7,2,Solidago multiradiata,Native,14
8/12/2021,224,2,7,3,Solidago multiradiata,Native,10
8/12/2021,224,2,7,2,Verbascum thapsus,Introduced,2
8/20/2021,232,2,8,2,Achillea millefolium ,Native,2
8/20/2021,232,2,8,1,Allium cernuum,Native,3
8/20/2021,232,2,8,1,Artemisia frigida,Native,42
8/20/2021,232,2,8,3,Artemisia frigida,Native,18
8/20/2021,232,2,8,2,Artemisia frigida,Native,51
8/20/2021,232,2,8,1,Carduus nutans,Introduced,8
8/20/2021,232,2,8,2,Carduus nutans,Introduced,2
8/20/2021,232,2,8,1,Ericameria nauseosa,Native,128
8/20/2021,232,2,8,3,Ericameria nauseosa,Native,47
8/20/2021,232,2,8,2,Ericameria nauseosa,Native,40
8/20/2021,232,2,8,1,Eriogonum umbellatum,Native,5
8/20/2021,232,2,8,2,Eriogonum umbellatum,Native,2
8/20/2021,232,2,8,2,Grindelia squarrosa,Native,5
8/20/2021,232,2,8,1,Heterotheca villosa,Native,18
8/20/2021,232,2,8,3,Heterotheca villosa,Native,52
8/20/2021,232,2,8,2,Heterotheca villosa,Native,230
8/20/2021,232,2,8,2,Lactuca serriola,Introduced,23
8/20/2021,232,2,8,3,Orthocarpus luteus,Native,27
8/20/2021,232,2,8,1,Polygonum douglasii,Native,15
8/20/2021,232,2,8,3,Solidago multiradiata,Native,10
8/20/2021,232,2,8,2,Solidago multiradiata,Native,3
8/20/2021,232,2,8,2,Verbascum thapsus,Introduced,8
9/11/2021,254,2,9,1,Carduus nutans,Introduced,3
9/11/2021,254,2,9,2,Carduus nutans,Introduced,1
9/11/2021,254,2,9,2,Dieteria bigelovii,Native,13
9/11/2021,254,2,9,1,Ericameria nauseosa,Native,45
9/11/2021,254,2,9,3,Ericameria nauseosa,Native,21
9/11/2021,254,2,9,2,Ericameria nauseosa,Native,20
9/11/2021,254,2,9,2,Grindelia squarrosa,Native,2
9/11/2021,254,2,9,1,Heterotheca villosa,Native,2
9/11/2021,254,2,9,3,Heterotheca villosa,Native,3
9/11/2021,254,2,9,2,Heterotheca villosa,Native,20
9/11/2021,254,2,9,2,Verbascum thapsus,Introduced,2
5/17/2021,137,3,0,1,None,NA,0
5/17/2021,137,3,0,2,None,NA,0
5/17/2021,137,3,0,3,None,NA,0
5/24/2021,144,3,1,1,Claytonia lanceolata,Native,2
5/24/2021,144,3,1,1,Noccaea fendleri,Native,22
5/24/2021,144,3,1,2,Noccaea fendleri,Native,30
5/24/2021,144,3,1,3,None,NA,0
6/4/2021,155,3,2,2,Androsace occidentalis,Native,6
6/4/2021,155,3,2,1,Claytonia lanceolata,Native,10
6/4/2021,155,3,2,3,Claytonia lanceolata,Native,8
6/4/2021,155,3,2,1,Noccaea fendleri,Native,13
6/4/2021,155,3,2,2,Noccaea fendleri,Native,30
6/4/2021,155,3,2,3,Noccaea fendleri,Native,6
6/4/2021,155,3,2,1,Taraxacum officinale,Introduced,2
6/4/2021,155,3,2,2,Taraxacum officinale,Introduced,13
6/4/2021,155,3,2,3,Taraxacum officinale,Introduced,4
6/17/2021,168,3,3,2,Antennaria parvifolia,Native,15
6/17/2021,168,3,3,1,Cerastium arvense,Native,7
6/17/2021,168,3,3,2,Cerastium arvense,Native,63
6/17/2021,168,3,3,3,Cerastium arvense,Native,31
6/17/2021,168,3,3,1,Delphinium nuttallianum,Native,53
6/17/2021,168,3,3,2,Delphinium nuttallianum,Native,34
6/17/2021,168,3,3,3,Delphinium nuttallianum,Native,35
6/17/2021,168,3,3,1,Harbouria trachypleura,Native,1
6/17/2021,168,3,3,1,Mertensia lanceolata,Native,2
6/17/2021,168,3,3,3,Packera fendleri,Native,14
6/17/2021,168,3,3,1,Taraxacum officinale,Introduced,1
6/17/2021,168,3,3,2,Taraxacum officinale,Introduced,5
6/17/2021,168,3,3,3,Taraxacum officinale,Introduced,2
6/17/2021,168,3,3,1,Thermopsis montana,Native,22
6/17/2021,168,3,3,2,Thermopsis montana,Native,3
6/17/2021,168,3,3,3,Thermopsis montana,Native,11
6/17/2021,168,3,3,3,Thermopsis montana,Native,10
6/17/2021,168,3,3,2,Thlaspi arvense,Introduced,401
6/17/2021,168,3,3,1,Thlaspi arvense,Introduced,15
6/17/2021,168,3,3,3,Thlaspi arvense,Introduced,16
6/17/2021,168,3,3,2,Arabis glabra,Introduced,20
6/17/2021,168,3,3,3,Arabis glabra,Introduced,4
6/28/2021,179,3,4,2,Antennaria parvifolia,Native,10
6/28/2021,179,3,4,3,Antennaria parvifolia,Native,5
6/28/2021,179,3,4,3,Astragalus flexuosus,Native,14
6/28/2021,179,3,4,1,Cerastium arvense,Native,13
6/28/2021,179,3,4,2,Cerastium arvense,Native,24
6/28/2021,179,3,4,1,Delphinium nuttallianum,Native,39
6/28/2021,179,3,4,2,Delphinium nuttallianum,Native,13
6/28/2021,179,3,4,3,Delphinium nuttallianum,Native,10
6/28/2021,179,3,4,1,Erysimum capitatum,Native,14
6/28/2021,179,3,4,1,Lupinus argenteus,Native,10
6/28/2021,179,3,4,2,Lupinus argenteus,Native,26
6/28/2021,179,3,4,1,Senecio integerrimus,Native,3
6/28/2021,179,3,4,1,Taraxacum officinale,Introduced,3
6/28/2021,179,3,4,2,Taraxacum officinale,Introduced,2
6/28/2021,179,3,4,3,Taraxacum officinale,Introduced,1
6/28/2021,179,3,4,1,Thermopsis montana,Native,3
6/28/2021,179,3,4,2,Thermopsis montana,Native,9
6/28/2021,179,3,4,1,Thlaspi arvense,Introduced,152
6/28/2021,179,3,4,2,Thlaspi arvense,Introduced,63
6/28/2021,179,3,4,3,Thlaspi arvense,Introduced,67
6/28/2021,179,3,4,2,Arabis glabra,Introduced,3
6/28/2021,179,3,4,3,Arabis glabra,Introduced,2
7/15/2021,196,3,5,1,Achillea millefolium ,Native,4
7/15/2021,196,3,5,2,Achillea millefolium ,Native,22
7/15/2021,196,3,5,3,Achillea millefolium ,Native,3
7/15/2021,196,3,5,1,Agoseris glauca,Native,1
7/15/2021,196,3,5,3,Agoseris glauca,Native,2
7/15/2021,196,3,5,2,Antennaria corymbosa,Native,10
7/15/2021,196,3,5,1,Astragalus miser,Native,7
7/15/2021,196,3,5,1,Campanula rotundifolia,Native,5
7/15/2021,196,3,5,2,Campanula rotundifolia,Native,34
7/15/2021,196,3,5,3,Campanula rotundifolia,Native,9
7/15/2021,196,3,5,1,Cerastium arvense,Native,1
7/15/2021,196,3,5,2,Cerastium arvense,Native,1
7/15/2021,196,3,5,1,Collomia linearis,Native,93
7/15/2021,196,3,5,2,Collomia linearis,Native,60
7/15/2021,196,3,5,3,Collomia linearis,Native,126
7/15/2021,196,3,5,1,Erigeron flagellaris,Native,3
7/15/2021,196,3,5,3,Gaillardia aristata,Native,4
7/15/2021,196,3,5,1,Geranium caespitosum,Native,1
7/15/2021,196,3,5,2,Lappula occidentalis,Native,3
7/15/2021,196,3,5,1,Lupinus argenteus,Native,3
7/15/2021,196,3,5,3,Lupinus argenteus,Native,15
7/15/2021,196,3,5,2,Taraxacum officinale,Introduced,1
7/15/2021,196,3,5,1,Thlaspi arvense,Introduced,152
7/15/2021,196,3,5,2,Thlaspi arvense,Introduced,73
7/15/2021,196,3,5,3,Thlaspi arvense,Introduced,28
7/15/2021,196,3,5,1,Tragopogon dubius,Introduced,4
7/26/2021,207,3,6,3,Achillea millefolium ,Native,15
7/26/2021,207,3,6,1,Achillea millefolium ,Native,4
7/26/2021,207,3,6,2,Achillea millefolium ,Native,32
7/26/2021,207,3,6,3,Agoseris glauca,Native,10
7/26/2021,207,3,6,1,Agoseris glauca,Native,2
7/26/2021,207,3,6,1,Astragalus miser,Native,11
7/26/2021,207,3,6,3,Calochortus gunnisonii,Native,8
7/26/2021,207,3,6,1,Calochortus gunnisonii,Native,2
7/26/2021,207,3,6,2,Calochortus gunnisonii,Native,2
7/26/2021,207,3,6,3,Campanula rotundifolia,Native,130
7/26/2021,207,3,6,1,Campanula rotundifolia,Native,57
7/26/2021,207,3,6,2,Campanula rotundifolia,Native,295
7/26/2021,207,3,6,3,Carduus nutans,Introduced,11
7/26/2021,207,3,6,1,Carduus nutans,Introduced,2
7/26/2021,207,3,6,2,Carduus nutans,Introduced,4
7/26/2021,207,3,6,3,Collomia linearis,Native,216
7/26/2021,207,3,6,1,Collomia linearis,Native,20
7/26/2021,207,3,6,2,Collomia linearis,Native,220
7/26/2021,207,3,6,2,Erigeron flagellaris,Native,1
7/26/2021,207,3,6,2,Erigeron speciosus,Native,2
7/26/2021,207,3,6,3,Gaillardia aristata,Native,5
7/26/2021,207,3,6,1,Gaillardia aristata,Native,3
7/26/2021,207,3,6,1,Geranium caespitosum,Native,4
7/26/2021,207,3,6,1,Linaria dalmatica,Introduced,13
7/26/2021,207,3,6,1,Lupinus argenteus,Native,10
7/26/2021,207,3,6,2,Lupinus argenteus,Native,16
7/26/2021,207,3,6,1,Oxytropis lambertii,Native,10
